169086.city,mISABELA,ISABELA
164884.statevalue,ZA,AZ
71109.fname,il,Wil
67437.fname,asaru,Masaru
2636.zip,20226.0,59111
105152.statevalue,DI,ID
99902.fname,Cengdian,Chengdian
111186.statevalue,CjO,CO
199268.city,CHIMAUM,CHIMACUM
123907.gender,,F
134361.lname,Khadlkar,Khadilkar
12549.lname,Giersonde,Gersonde
34674.maritalstatus,,S
120090.statevalue,AM,MA
145146.city,DE MOINES,DES MOINES
16777.statevalue,I,MI
35600.gender,***,M
67864.fname,Han,Huan
184042.haschild,***,N
97138.maritalstatus,,M
186807.phone,960-17o49,960-1749
169475.gender,***,F
111220.gender,bM,M
144551.phone,779-606,779-6606
154230.city,HkORMIGUEROS,HORMIGUEROS
46855.haschild,dN,N
111130.haschild,,Y
185110.city,McEREDITH,MEREDITH
64093.fname,Oynstein,Oystein
49279.phone,z113-5868,113-5868
171291.statevalue,C,NC
89520.gender,kM,M
1476.zip,8203.0,49012
100193.gender,***,F
77482.fname,aTishin,Taishin
30583.phone,60-4473,960-4473
118034.city,LEBANN,LEBANON
154744.maritalstatus,vM,M
188853.haschild,oY,Y
183018.statevalue,NaH,NH
62344.fname,Joyip,Joydip
40683.lname,inas,Minas
61188.fname,Mechthyild,Mechthild
98151.phone,2927097,292-7097
158071.gender,,M
50339.phone,98-1715,298-1715
64577.fname,Marlynn,Marilynn
5971.fname,Belen,Dawei
33636.statevalue,R,PR
138491.maritalstatus,,S
120812.city,GREEzNWOOD,GREENWOOD
788.areacode,501.0,808
77330.statevalue,KA,AK
179449.city,OOPER,COOPER
138568.fname,inru,Qinru
64373.statevalue,NzE,NE
20516.maritalstatus,***,S
17457.city,PIE BLUFF,PINE BLUFF
40807.statevalue,H,NH
177765.haschild,,Y
187865.haschild,***,N
28331.fname,Cvarsten,Carsten
151527.city,BANCROTF,BANCROFT
26808.statevalue,D,MD
12780.fname,Rajanrayanan,Rajanarayanan
169345.fname,Ibiiba,Ibibia
76527.haschild,,Y
1271.zip,72640.0,3305
154677.statevalue,CD,DC
120068.phone,603-z9638,603-9638
127763.fname,Arvidn,Arvind
58091.haschild,,N
4063.zip,72640.0,54652
78082.city,CHEzSTER,CHESTER
155891.statevalue,J,NJ
151726.lname,Littlestoen,Littlestone
56469.gender,nF,F
95500.maritalstatus,rS,S
33088.statevalue,MeT,MT
27680.gender,***,F
111968.statevalue,RO,OR
2055.lname,Ogwana,Ogawana
186776.haschild,pN,N
162835.statevalue,jCA,CA
149109.phone,481-688,481-6388
134530.fname,Sadaotoshi,Sadatoshi
133015.lname,Elton,Elston
70883.fname,Xao,Xiao
196892.maritalstatus,sM,M
178119.haschild,***,N
191232.lname,Stangver,Stanger
21425.haschild,rN,N
174988.haschild,,N
3269.fname,Nik,Koji
166874.haschild,wN,N
42385.lname,amakoti,Kamakoti
105344.statevalue,AI,IA
195213.fname,eElco,Eelco
82772.maritalstatus,dM,M
49458.city,TORRIvNGTON,TORRINGTON
35127.phone,76m8-7803,768-7803
15277.phone,2876799,287-6799
73069.city,TLUSA,TULSA
48465.gender,,F
97184.lname,sBoreddy,Boreddy
112842.city,PUEBLrO,PUEBLO
99896.city,LFORIDA,FLORIDA
171586.maritalstatus,,S
180692.statevalue,Y,KY
195646.phone,49-9922,949-9922
167886.statevalue,C,NC
42710.city,DOVRE,DOVER
173063.fname,Vittorai,Vittoria
182685.gender,nF,F
178373.phone,63t3-4099,633-4099
116363.statevalue,K,AK
9614.statevalue,R,OR
16867.fname,Roberut,Robert
85867.phone,482-7144***,482-7144
191448.maritalstatus,,S
1378.zip,78521.0,19930
59702.statevalue,KA,AK
149688.gender,bM,M
38601.maritalstatus,vM,M
91511.maritalstatus,***,M
11864.statevalue,L,FL
102008.city,QUEBRADyILLAS,QUEBRADILLAS
128988.haschild,wY,Y
119132.statevalue,TC,CT
25558.city,SNA DIEGO,SAN DIEGO
149296.gender,,F
9735.gender,,M
33866.haschild,aY,Y
72531.statevalue,NM,MN
24770.city,WALnKER,WALKER
491.zip,8203.0,33106
163042.gender,tM,M
33843.gender,,F
70060.gender,qM,M
165585.lname,Marwedecl,Marwedel
17486.phone,94-99866,949-9866
176434.statevalue,I,WI
79036.fname,Bojna,Bojan
2287.fname,lAco,Alco
51263.fname,Chyihei,Chihei
109069.city,yCLOVIS,CLOVIS
31219.statevalue,SM,MS
117220.gender,lF,F
2502.zip,20226.0,81658
65716.phone,909-228,909-2258
10034.haschild,fN,N
28960.haschild,pY,Y
113328.phone,179-991v0,179-9910
85549.lname,Chlatterji,Chatterji
172541.haschild,***,Y
125622.gender,yF,F
159944.phone,822-379,822-3709
154797.city,BRECKENRIDEG,BRECKENRIDGE
2555.fname,aMhir,Mahir
65146.haschild,,N
51079.phone,2w15-4999,215-4999
72984.haschild,iN,N
82188.phone,699-8016,969-8016
182485.city,HiUNTINGTON,HUNTINGTON
161238.statevalue,cMN,MN
126202.phone,27z7-6275,277-6275
127782.gender,jF,F
104200.haschild,***,N
26888.fname,Gianluiig,Gianluigi
32322.gender,aF,F
7948.maritalstatus,,M
100060.maritalstatus,,M
19339.gender,,M
199393.fname,vAner,Avner
144473.fname,Marsamru,Marsaru
357.phone,633-649,633-6149
197791.statevalue,OhR,OR
133119.statevalue,AW,WA
189068.city,WEUMKA,WETUMKA
135628.statevalue,AwK,AK
92258.haschild,***,Y
24697.maritalstatus,,S
111727.maritalstatus,,M
7772.haschild,,Y
188061.maritalstatus,aS,S
2867.areacode,501.0,505
148083.city,MfIDWAY,MIDWAY
77163.fname,nAuj,Anuj
152376.phone,792-2c364,792-2364
109267.statevalue,AP,PA
45295.statevalue,N,IN
62243.fname,Pill,Phill
85506.statevalue,L,IL
179192.gender,qF,F
67256.lname,Beoumezs,Beoumes
102931.city,PENINGTON,PENNINGTON
4265.zip,1907.0,57241
36287.maritalstatus,,S
27847.lname,Spirkovka,Spirkovska
57187.maritalstatus,wM,M
100641.fname,Naam,Nam
182896.gender,,M
59743.statevalue,lCO,CO
142201.fname,Rapahel,Raphael
177242.city,CABO OJO,CABO ROJO
11631.fname,Gnavnamalar,Gnanamalar
95433.city,SHAxWNEE,SHAWNEE
151949.statevalue,K,AK
29088.fname,urab,Zurab
107223.gender,***,F
69274.gender,,F
139781.statevalue,H,NH
62205.phone,992-003,992-4003
163143.fname,Chakrlie,Charlie
100120.haschild,uN,N
77297.maritalstatus,sS,S
197793.gender,,M
52497.maritalstatus,***,M
41565.fname,ing,King
181491.maritalstatus,***,S
115336.lname,Tavanagrian,Tavangarian
136813.lname,Thanph,Thanh
149013.phone,450-6308,450-6038
12343.maritalstatus,***,M
3184.fname,Sudhanshu,Chamond
113811.city,COLxUMBIA,COLUMBIA
78170.lname,Rutkowsik,Rutkowski
192719.haschild,kY,Y
31398.phone,9o09-6703,909-6703
108071.gender,***,F
48549.phone,856-3l655,856-3655
139106.phone,25-93207,259-3207
175369.haschild,***,N
90376.maritalstatus,,S
179845.gender,***,F
3145.fname,Nik,Shakhar
122100.lname,Rai,Radi
177557.haschild,***,N
6740.fname,Belen,Gary
104943.lname,Viljarrasa,Vilarrasa
16011.maritalstatus,***,S
108924.gender,hM,M
6299.areacode,501.0,810
173008.city,WHITEOUSE,WHITEHOUSE
164416.phone,186-943,186-9483
151034.city,BRIGDEPORT,BRIDGEPORT
144858.statevalue,NkD,ND
44111.maritalstatus,,S
197726.city,PLMER,PALMER
1207.zip,78521.0,22193
10030.haschild,pY,Y
5765.lname,Pacheoc,Pacheco
64995.statevalue,I,HI
170605.maritalstatus,***,S
131561.city,HAPRSWELL,HARPSWELL
10959.city,UEREKA,EUREKA
125352.haschild,***,Y
27565.haschild,,Y
163011.fname,hwin,Ahwin
142194.city,UrLM,ULM
2169.zip,72640.0,96720
98550.lname,kBuchinger,Buchinger
175020.maritalstatus,***,S
179561.lname,Srasser,Strasser
47000.fname,iSgurdur,Sigurdur
2646.zip,78521.0,6525
1316.phone,28-8582,287-8582
5150.city,WALPOLzE,WALPOLE
83031.maritalstatus,,M
189630.statevalue,K,AK
122193.lname,Hanneobauer,Hannebauer
60571.statevalue,K,AK
26959.phone,49-67284,496-7284
149387.lname,iMlicia,Milicia
92604.gender,,F
68322.phone,206-6230,206-2630
71116.statevalue,KA,AK
132992.gender,iM,M
105912.fname,Xiaaomei,Xiaomei
2215.fname,Hovav,Hitoshi
118400.maritalstatus,***,S
127815.maritalstatus,zS,S
58287.phone,54-29035,542-9035
1118.zip,89140.0,39576
131634.gender,***,M
13172.city,SUGAR CIYT,SUGAR CITY
85974.maritalstatus,cM,M
58441.gender,,F
162168.maritalstatus,,M
86746.maritalstatus,,S
70116.statevalue,K,AK
51984.fname,Tadaaik,Tadaaki
18461.city,qMANVILLE,MANVILLE
166455.maritalstatus,***,S
3608.areacode,862.0,504
188725.lname,Fenald,Fernald
82551.gender,,M
43831.statevalue,WqV,WV
136433.statevalue,AG,GA
91803.phone,645-65f46,645-6546
72230.haschild,,N
29078.statevalue,K,AK
21732.haschild,zN,N
140087.haschild,mY,Y
159944.gender,yM,M
86129.fname,Rowman,Roman
97019.statevalue,V,NV
95186.lname,Urrbain,Urbain
103670.haschild,bN,N
142159.statevalue,LzA,LA
181047.gender,***,M
57191.fname,Despnia,Despina
57777.maritalstatus,***,M
124327.phone,418-7197,418-7179
120638.lname,aVsconcelos,Vasconcelos
17488.city,MNACHESTER,MANCHESTER
72358.maritalstatus,xM,M
54040.haschild,***,Y
42610.maritalstatus,wS,S
102171.haschild,***,N
112927.maritalstatus,wS,S
115567.city,JCKSON,JACKSON
104787.phone,98-2375,987-2375
38733.lname,Optterloo,Otterloo
147823.statevalue,uKS,KS
90126.statevalue,C,SC
49983.maritalstatus,***,S
93864.phone,4925637,492-5637
187698.gender,,M
1622.statevalue,iLA,LA
133660.haschild,,Y
16267.statevalue,gAR,AR
99153.city,OLOVANA PARK,TOLOVANA PARK
29687.statevalue,vAK,AK
128028.maritalstatus,oS,S
147871.city,UGAYANILLA,GUAYANILLA
173423.maritalstatus,,M
112060.maritalstatus,,M
3915.fname,Xiangning,Ashok
88738.phone,253-3989,253-9389
2688.haschild,,N
199888.lname,vHodil,Hodil
38045.phone,434-24e08,434-2408
5650.fname,Xiangning,Chriss
89231.city,BRIDGmEPORT,BRIDGEPORT
29635.gender,nM,M
117078.fname,Fatkhi,Fathi
53681.haschild,iN,N
187885.city,SAN IEGO,SAN DIEGO
183159.statevalue,KA,AK
75619.lname,uBitenhuis,Buitenhuis
49617.city,OA BAJA,TOA BAJA
11220.fname,nnig,Annig
151637.gender,,M
160963.lname,Podklzin,Podkolzin
14423.fname,Gunhlid,Gunhild
5134.areacode,702.0,304
180941.city,WASHNIGTON,WASHINGTON
122413.city,RENCHTOWN,FRENCHTOWN
42824.gender,,M
179525.statevalue,A,VA
89351.lname,Zigeert,Ziegert
75012.statevalue,D,SD
158305.haschild,,Y
184322.lname,Bertelsn,Bertelsen
7295.areacode,501.0,912
144750.city,HdAUULA,HAUULA
98553.haschild,eN,N
29962.gender,,M
164915.fname,iraye,Piraye
7717.areacode,702.0,714
92366.city,ENSENAdDA,ENSENADA
86617.maritalstatus,***,S
177726.lname,Deeringer,Deringer
165629.phone,838-p5785,838-5785
3263.zip,8203.0,22535
179.fname,Nik,Long
176216.city,ALAM,ALMA
159196.gender,***,F
183088.gender,,F
138567.maritalstatus,,M
179168.statevalue,YW,WY
131396.lname,Pyanadiwal,Panadiwal
71971.maritalstatus,***,M
56899.phone,734-8c082,734-8082
5032.lname,Policrti,Policriti
173765.maritalstatus,sS,S
52314.gender,,F
47747.gender,,M
110406.gender,iM,M
143972.maritalstatus,yM,M
468.zip,78521.0,7857
151402.fname,Nikc,Nick
155050.statevalue,MaO,MO
11145.fname,oseanne,Roseanne
116806.fname,Sarad,Sharad
74575.city,BONTON,BOONTON
78087.statevalue,KA,AK
152972.lname,Deisderio,Desiderio
147012.fname,ming,Uming
4782.lname,Blatckall,Blackall
121877.maritalstatus,oM,M
132541.gender,rM,M
112114.statevalue,AtK,AK
155174.fname,Elhiu,Elihu
190178.maritalstatus,gS,S
7018.lname,aBin,Bain
136278.gender,***,M
178697.city,PROIVDENCE,PROVIDENCE
162562.city,IDGEFIELD,RIDGEFIELD
97761.haschild,***,N
71170.fname,oojin,Woojin
124776.fname,arina,Marina
110548.phone,244-863,244-8263
106273.haschild,,N
160263.lname,Syrotik,Syrotiuk
6308.city,COPALIS CROSSING***,COPALIS CROSSING
906.zip,8203.0,77302
112866.maritalstatus,***,M
111085.statevalue,IW,WI
3948.lname,Vragh,Viragh
45923.maritalstatus,sM,M
5907.statevalue,A,GA
2640.areacode,702.0,507
7070.city,FRUITPOTR,FRUITPORT
24321.city,LAS VElGAS,LAS VEGAS
55219.fname,Nunnzio,Nunzio
89042.city,LACK EARTH,BLACK EARTH
152837.statevalue,L,AL
31736.phone,76a5-4872,765-4872
136915.maritalstatus,,S
149921.haschild,tN,N
134722.phone,529-5165,592-5165
148883.city,AGeUIRRE,AGUIRRE
170136.fname,Huseiyn,Huseyin
187533.city,WARRNE,WARREN
187079.statevalue,IuL,IL
133447.statevalue,KA,AK
6733.areacode,702.0,229
124261.city,GUIRRE,AGUIRRE
148212.haschild,wY,Y
729.zip,89140.0,4013
7068.fname,Nik,Yexuan
39574.city,HALLOWELL***,HALLOWELL
195840.haschild,,Y
182824.city,ShTRANG,STRANG
155755.statevalue,KA,AK
168968.gender,vM,M
69911.lname,Klimv,Klimov
78352.fname,Samy,Sammy
124695.statevalue,NT,TN
183872.city,BIMINGHAM,BIRMINGHAM
145047.fname,Ouseh,Oukseh
191215.lname,Nlol,Noll
142858.haschild,,Y
137472.gender,***,M
166611.city,MTA,META
197780.fname,Danw,Dawn
199119.fname,Stabisals,Stabislas
24915.fname,Kensukje,Kensuke
41361.city,AST DORSET,EAST DORSET
185486.maritalstatus,***,M
26562.fname,Niola,Nikola
85346.haschild,xY,Y
80231.statevalue,AuK,AK
71064.fname,Girolmao,Girolamo
90729.gender,,M
14793.haschild,,N
117747.statevalue,K,AK
146971.statevalue,K,AK
91408.haschild,***,Y
151166.fname,herie,Cherie
151244.phone,t232-2733,232-2733
37536.maritalstatus,***,M
2332.zip,78521.0,25569
80978.lname,Sillitoe***,Sillitoe
3791.maritalstatus,,S
194218.statevalue,bAK,AK
40813.city,CHESTR,CHESTER
122036.lname,Rueter,Reuter
194948.phone,987-2645,987-2465
195786.gender,,M
115001.city,AINT LOUIS,SAINT LOUIS
17069.city,SCRIoBNER,SCRIBNER
37600.lname,Braklmo,Brakmo
59311.statevalue,AW,WA
60197.maritalstatus,bS,S
39527.city,IPOCHE,PIOCHE
131834.statevalue,N,MN
185947.lname,Bloer,Blomer
176809.fname,Camion,Camino
15080.statevalue,D,ID
1640.areacode,862.0,718
86471.haschild,***,N
54131.city,POTSDsAM,POTSDAM
70337.city,FAbIRLEE,FAIRLEE
84913.haschild,mY,Y
164340.city,UCKEYE,BUCKEYE
179617.phone,64-78663,647-8663
2225.zip,8203.0,99553
45468.phone,712-671,712-6271
35907.maritalstatus,***,M
74565.statevalue,N,IN
127733.statevalue,CuO,CO
62717.haschild,***,Y
196818.maritalstatus,,S
65473.phone,744-670,744-6780
17406.fname,sColm,Colm
443.gender,uF,F
153342.statevalue,E,ME
184875.statevalue,AL,LA
168292.gender,***,M
3272.zip,20226.0,6069
103581.phone,922-8i454,922-8454
133569.gender,lM,M
180472.haschild,kY,Y
126192.phone,169-2276,619-2276
123514.maritalstatus,,M
47302.phone,808-238,808-7238
169664.gender,,M
137189.gender,***,F
76455.fname,Wnillett,Willett
25429.statevalue,I,HI
18435.gender,***,M
32438.gender,,F
99324.lname,Arthawn,Arthan
115662.gender,,M
154493.phone,26-5456,226-5456
160993.fname,Tsuxnenori,Tsunenori
56637.gender,nM,M
145593.haschild,eN,N
174513.lname,Danneavik,Dannevik
104404.maritalstatus,aM,M
67273.haschild,***,Y
79197.statevalue,K,AK
88403.statevalue,AV,VA
30868.fname,Jerej,Jernej
56139.fname,Venkatswarlu,Venkateswarlu
179453.city,NEW BRAUcNFELS,NEW BRAUNFELS
24951.fname,Epaminndas,Epaminondas
163777.statevalue,DjC,DC
159992.maritalstatus,aS,S
75801.maritalstatus,***,S
41887.city,GRCE,GRACE
49038.phone,43-7338,439-7338
94071.city,FOUNTAINu GREEN,FOUNTAIN GREEN
147230.fname,oLrri,Lorri
140967.fname,Irnia,Irina
145756.fname,hixue,Zhixue
20290.gender,,F
112064.maritalstatus,jM,M
173437.maritalstatus,,S
102416.fname,Djeana,Djenana
10389.maritalstatus,,S
7768.statevalue,AV,VA
98391.haschild,,N
154656.gender,***,F
93911.statevalue,R,OR
58755.haschild,***,N
12759.city,AHRTFORD,HARTFORD
22056.fname,kJeanne,Jeanne
173261.city,MILTOwN MILLS,MILTON MILLS
61989.maritalstatus,hM,M
178061.phone,836g-2185,836-2185
87.zip,78521.0,83840
66227.lname,Okazkai,Okazaki
73439.haschild,***,N
181531.city,BOuSTON,BOSTON
20073.maritalstatus,***,M
149027.fname,Chengxiie,Chengiie
105523.gender,vF,F
170530.statevalue,D,MD
101314.haschild,,N
151808.haschild,,N
61426.phone,5219060,521-9060
49103.phone,10-8142,610-8142
180280.haschild,cY,Y
154400.statevalue,xMS,MS
2585.phone,010-7383,100-7383
172521.statevalue,KA,AK
123823.maritalstatus,***,M
105114.haschild,nY,Y
84945.city,BENNINGTNO,BENNINGTON
132039.fname,Faots,Fatos
121709.maritalstatus,***,S
120423.gender,***,F
161826.haschild,eN,N
42085.fname,Sushele,Susheel
15753.maritalstatus,,S
121307.statevalue,IR,RI
135186.phone,550-738,550-7738
36599.city,WASHIGNTON,WASHINGTON
132604.statevalue,K,AK
186075.maritalstatus,lM,M
172162.haschild,,Y
146567.haschild,***,N
150683.haschild,***,Y
129771.lname,Bcoquet,Bocquet
131782.haschild,,N
8885.gender,wM,M
175090.haschild,gN,N
102359.city,PAPILLION***,PAPILLION
37590.gender,***,M
146509.fname,Uhfuk,Ufuk
103325.haschild,kN,N
155677.statevalue,D,MD
31316.phone,3308-592,330-8592
1867.zip,72640.0,91066
127989.haschild,,N
129228.gender,,M
170360.city,pISABELA,ISABELA
70348.maritalstatus,,S
105883.haschild,***,N
47966.statevalue,RP,PR
146826.maritalstatus,zM,M
30153.lname,Suetr,Suter
186814.phone,98-7015,968-7015
108630.phone,47-1190,467-1190
90853.maritalstatus,,S
162685.gender,***,M
146195.phone,838-1304,838-1034
197894.phone,770-9568,770-9658
111810.lname,Czyzowcz,Czyzowicz
110804.haschild,***,Y
152414.lname,Brogig,Broggi
129950.gender,,F
106636.fname,Rpahael,Raphael
135925.fname,Tzuvi,Tuvi
92169.fname,tEsin,Esin
1422.fname,Nik,Leonor
114908.city,BALSyAM LAKE,BALSAM LAKE
5370.fname,Belen,Qingyan
73584.statevalue,KA,AK
178252.maritalstatus,***,M
137882.phone,602-742a9,602-7429
11823.city,SHERIDANL AKE,SHERIDAN LAKE
36540.city,SECeO,SECO
161423.haschild,wN,N
88723.gender,***,M
47982.fname,aNoki,Naoki
147154.lname,Leitjn,Leitjen
143747.lname,Bhe,Beh
36180.city,MERCEIDTA,MERCEDITA
1764.areacode,862.0,601
37003.fname,Nao,Noa
169143.gender,***,F
138159.statevalue,PyR,PR
74302.city,ANATI,MANATI
195583.phone,3863490,386-3490
172238.haschild,gN,N
97319.maritalstatus,***,S
95427.lname,Katzenbreg,Katzenberg
40514.city,WASIHNGTON,WASHINGTON
110668.gender,***,M
63925.gender,,F
7801.areacode,702.0,304
145983.lname,Satdl,Stadl
119852.maritalstatus,***,S
68288.statevalue,A,VA
4051.zip,78521.0,65741
153656.city,DORAO,DORADO
2604.fname,Sudhanshu,Fahiem
60214.maritalstatus,,S
5685.lname,Wiera,Widera
1901.city,vHEBRON,HEBRON
155476.statevalue,TC,CT
70223.statevalue,AC,CA
23778.statevalue,vDC,DC
52831.haschild,,Y
71497.maritalstatus,,S
65378.haschild,iN,N
133557.city,MAYAUEZ,MAYAGUEZ
28368.city,LoONG BEACH,LONG BEACH
36189.maritalstatus,,S
193914.statevalue,EN,NE
168125.fname,Ivta,Iveta
8626.city,RICHjMOND,RICHMOND
164154.fname,Silivu,Silviu
108515.statevalue,D,ID
51876.fname,Arii,Airi
116752.gender,uF,F
2370.zip,89140.0,29555
35364.statevalue,A,VA
11116.statevalue,DM,MD
81957.maritalstatus,,S
165332.maritalstatus,***,M
154476.lname,Rosednahl,Rosendahl
83984.phone,912j-1589,912-1589
152284.phone,11-1550,111-1550
155457.haschild,***,Y
168861.gender,iM,M
113220.statevalue,KA,AK
