fname,lname,gender,areacode,phone,city,statevalue,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,Label
Kaji,Liberman,M,802,101-6985,EAST WALLINGFORD,VT,5742,S,N,40000,,3300,0,0,1
Octavio,,F,947,992-1762,CEDAR SPRINGS,MI,4975,S,N,3.9,25000,3100,0,0,1
Jaejin,Shanmugasundaram,F,805,871-8786,MOCKSVILLE,CA,94229,M,Y,85000,L.3,0,174,272,1
Ameet,aBin,F,406,283-7189,MISSOULA,MT,59802,S,N,85000,6.9,1900,0,0,1
Ondrej,Shiomi,F,808,,KAHULUI,I,96732,M,N,15000,3.743421,40,,0,1
Xiaolang,Rodham,F,920,597-7976,GRANTON,WI,54436,S,N,55000,3.36759,700,0,0,1
Surjatini,Stellhorn,M,802,915-9500,WATERBURY,VT,5671,Y,M,35000,3.7014668,0,6600,3300,1
Ilagit,Auinger,F,907,185-6056,ANCHORAGE,AK,99530,M,N,70000,0.0,0,7150,0,1
Muzhong,Voorhoeve,M,928,885-6378,PHOENIX,AZ,,M,Y,85000,4.0325,0,4200,2300,1
Avelino,English,,401,795-3153,WESTERLY,RI,2891,M,Y,70000,0.0,0,0,0,1
Kuhanandha,Juste,F,620,383-2452,WICHITA,KS,67212,M,Y,80000,6.45,0,,2250,1
Daoud,Koszlajda,F,479,580-2032,OZAN,AR,7185,S,N,20000,4.9682083,20,0,0,1
Yuyan,Simao,M,603,350-5756,EAST DERRY,NH,3041,M,Y,50000,0.0,2100,0,0,1
Toshiya,Moshkow,M,770,858-3419,BELLEVILLE,NJ,7109,S,Y,75000,2.267396,100,0,1900,1
Gao,Perritt,F,,149-9161,ENID,OK,73702,S,N,35000,6.25,1000,0,0,1
Christine,Dewez,F,917,497-8563,OR,BEAVER,38658,S,N,15000,9.0,159,0,0,1
Naomi,Jolfaei,F,802,284-1040,BARRE,VT,5641,S,Y,30000,3.6019895,3300,0,3300,1
Eddi,Dresler,F,406,360-6112,RINGLING,MT,59642,S,N,60000,3.4,1900,0,0,1
Tricia,Raschke,M,365-7356,504,BONITA,LA,71223,,N,90000,6.0,4500,0,0,1
Rosana,Prabhakar,M,716,742-9434,SCHENECTADY,RI,12308,S,N,20000,4.0695124,0,0,0,1
Sachiko,Rajkumar,,505,454-7224,RED LODGE,NM,87825,S,N,35000,1.7,3300,0,0,1
Jory,Itzfeldt,F,,295-2672,NOTREES,TX,79759,M,N,35000,0.0,0,0,0,1
Antoni,Bober,F,860,822-3830,EAST WOODSTOCK,CT,6244,S,Y,70000,5.0,3100,0,0,1
Kari,Tadic,M,406,496-1588,COOKE CITY,MT,59020,S,Y,65000,6.9,1900,0,6600,1
Yonit,Tanskanen,M,312,,SAINTE MARIE,IL,62459,M,N,45000,3.0,0,4000,0,1
Kaji,Jianan,M,605,BURBANK,548-2369,57010,SD,Y,M,85000,0.0,0,0,0,1
Masadi,Punnekkat,F,717,492-9196,NORTH EAST,PA,S,16428,Y,3.07,35000,0,,0,1
Tankoano,Stumptner,M,203,717-2198,VERSAILLES,RI,6383,M,,5.3,3.0,0,24500,0,1
Ferdi,Parter,M,612,360-4982,REDLAKE,,56671,M,N,35000,0.712,0,6600,0,1
Tunhow,Anastasakis,M,307,901-3497,LANCE CREEK,WY,82222,S,Y,100000,0.0,0,0,0,1
Jaeho,Levcopoulos,F,979,893-3703,KERENS,TX,75144,S,N,35000,0.0,0,0,,1
Joost,Krumm,M,580,685-9010,COKER CREEK,OK,74004,,N,70000,6.25,0,2000,300,1
Montgomery,Odberg,M,802,390-6816,BROWNSVILLE,VT,5037,S,N,60000,4.1988535,3300,0,0,1
PeiZong,ardazo,F,856,512-8410,TOMS RIVER,NJ,8755,M,N,45000,1.7942708,0,2000,0,1
Rogers,Thies,M,615,154-9152,PULASKI,TN,38478,S,Y,85000,0.0,0,0,0,1
,Krybus,,302,229-8352,CHESWOLD,DE,19936,M,Y,15000,2.8818183,0,220,2850,1
Glauco,Suwanda,M,202,785-2906,WASHINGTON,DC,20528,M,N,20000,6.75,0,2740,0,1
Jide,Carrington,M,928,,SCOTTSDALE,AZ,85254,M,Y,10000,2.87,0,4200,2300,1
Mirit,Hanchek,F,603,995-2629,CANAAN,NH,3741,M,Y,70000,0.0,0,0,0,1
Nestor,Koutny,F,304,341-7285,KISTLER,WV,25628,M,Y,10000,3.0,0,220,2000,1
Xiaobin,Teruel,F,765,954-2618,LEROY,IN,46355,S,N,15000,3.4,1000,0,0,1
Zohar,Kwasny,F,217,312-7776,NEWARK,IL,60541,S,N,45000,3.0,2000,0,2850,1
Talal,Zaiane,M,580,366-3966,SHAWNEE,OK,74801,,Y,95000,6.25,0,,1000,1
Riverson,Carle,F,775,179-7087,BOULDER CITY,NV,89006,M,N,40000,0.0,0,0,0,1
Vittorio,Earley,F,203,691-8996,ONECO,CT,6373,M,N,55000,5.0,0,24500,0,1
Martyn,Blomberg,F,971,481-2259,BEND,OR,97701,M,Y,85000,9.0,0,318,159,1
Genevieve,Jowett,F,708,660-7084,WOOD RIVER,IL,62095,M,N,15Z00,3.0,0,4000,0,1
Hiedi,Keum,F,032,657-4843,WILMINGTON,DE,19899,S,Y,75000,5.95,110,0,110,1
Chandrajit,Seymour,M,864,353-3505,COOSAWHATCHIE,SC,29912,M,Y,100000,7.0,0,6600,3300,1
Hiromu,Nobauer,M,401,119-4372,KINGSTON,RI,2881,S,N,75000,0.0,0,0,0,1
Gregoria,Plesniewicz,302,F,686-2159,WILMINGTON,DE,19893,M,Y,65000,5.95,110,0,110,1
Judicael,Higginson,M,405,273-8775,OKLAHOMA CITY,OK,73167,63735,Y,5000,,1000,4800,1000,1
Debbie,Uramoto,F,505,380-7030,ALBUQUERQUE,NM,87181,M,N,5.3,50000,0,6600,,1
Gonzalo,Fujisawa,M,,,KOOTENAI,ID,,S,Y,15000,5.529042,3300,0,3300,1
Koki,Warwick,,702,525-3046,LAS VEGAS,NV,89H59,S,N,35000,0.0,0,40,0,1
Kersti,Jorissen,731,M,LUPTON CITY,845-1402,TN,37351,S,N,95000,0.0,0,0,0,1
Souji,Kouzes,F,432,549-9593,LANCASTER,TX,75134,S,N,55000,0.0,0,0,0,1
Pike,Dung,,774,133-6113,BRIDGEWATER,MA,2325,S,N,55000,5.3,3575,0,0,1
Tadao,Niland,M,206,,SEATTLE,WA,98181,M,N,80000,0.0,2t,0,0,1
Sonu,Merhav,M,603,379-9505,GLEN,NH,3838,M,N,15000,0.0,0,,0,1
Cheong,Kavraki,F,606,286-5145,BROWNSVILLE,KY,42210,S,Y,40000,4.0555553,20,0,20,1
Scot,Genther,M,606,486-2472,LOUIOVILLE,KY,40217,S,N,25000,3.2222223,20,0,0,1
Edna,Cooper,F,308,412-9410,,NE,68858,M,N,55000,6.84,0,206,0,1
Jaihie,Cau,F,214,446-6343,DAGSBORO,DE,19939,M,Y,10000,2.540909,0,220,110,1
Juanita,,F,603,966-635,GRAFTON,NH,3240,S,Y,30000,0.0,0,0,0,1
Abrajit,Flege,M,601,197-2272,MERIDIAN,MS,39309,S,N,80000,5.0,6000,0,0,1
Hirohiko,Mullainathan,M,715,432-1687,APPLETON,WI,5414,S,Y,20000,4.7939067,700,0,400,1
Uinam,Hekken,F,339,769-6182,BELMONT,MA,2478,M,Y,35000,5.3,0,7150,1000,1
Mingsheng,Zaccaria,M,71,575-9742,BORING,OR,97009,S,N,30000,9.0,159,0,,1
Baoquan,Guha,F,339,73-07750,WOOD RIVER,MA,2032,Y,S,40000,5.3,3575,0,1000,1
Miron,Aue,F,304,295-7427,MARTINSBURG,WV,25402,S,Y,75000,6.5,2000,0,2000,1
Solveig,Tierney,F,260,242-7728,FORT WAYNE,IN,46845,M,N,80000,3.4,0,2000,0,1
Dipen,Compeau,,402,ATKINSON,284-8946,,68713,M,15000,10000,5.45,0,206,103,1
Rosanna,Angster,F,864,159-61N0,ERATH,LA,70533,,Y,55000,6.0,0,9000,1000,1
Fiorella,Culpepper,M,515,868-1779,ELKPORT,IA,52044,M,N,10000,1.7078737,0,80,0,1
Radoslaw,Agarawala,F,224,159-4972,GOLCONDA,IL,62938,S,N,100000,3.0,2000,0,0,1
Huayan,Ivesron,M,307,,RAWLINS,WY,82301,M,N,90000,0.0,0,0,0,1
Takayuki,Auletta,M,430,510-7810,EL PASO,,88519,S,Y,95000,0.0,,0,0,1
Teofilo,Kisielewicz,F,509,808-6639,REDMOND,WA,98052,M,,5000,0.0,0,0,0,1
,Sawada,F,319,282-7029,CLEMONS,IA,50051,S,Y,100000,8.98,40,0,40,1
Kern,Queinnec,F,304,161-7106,PAGETON,WV,24871,Y,M,10000,3.0,0,4000,2000,1
Refael,Hasida,F,939,677-3999,LUQUILLO,PR,773,M,Y,30000,0.0,0,0,0,1
,Valtorta,F,304,806-6310,REEDY,WV,25270,S,N,50000,5.8,2000,0,0,1
Giuseppe,Daigle,M,603,900-7725,MANCHESTER,,3104,M,Y,70000,0.0,0,0,0,1
Knud,Jenkins,F,423,309-6168,MILLINGTON,TN,38055,M,N,15000,0.0,0,0,0,1
Annie,Chu,F,916,104-8012,SALINAS,CA,93912,S,N,30000,6.590543,87,0,0,1
Hungwen,Terkki,F,719,184-8630,TWO BUTTES,81084,CO,M,N,90000,4.63,0,0,0,1
Kayo,Haralick,F,339,730-9081,DORCHESTER,MA,2125,M,Y,40000,5.3,0,,1000,1
Brock,Christianini,F,248,576-4279,COPPER HARBOR,MI,49918,M,Y,55000,3.9,0,6200,3100,1
Armin,Seung,M,804,693-8245,VA,RICHMOND,23292,S,Y,50000,5.75,900,0,900,1
Wagner,Phua,,808,152-1455,KAPOLEI,HI,96707,S,Y,30000,6.447368,1040,3000,1040,1
Ryuzo,Ulich,F,,484-5807,PORTERVILLE,MS,39352,S,N,100000,5.0,6000,,0,1
Teruji,Dey,F,202,989-1133,BAILEYS HARBOR,DC,20431,M,N,10000,3.0217428,0,2740,0,1
Francine,Baba,F,276,414-8610,FALLS MILLS,VA,24613,M,N,40000,5.75,0,1800,0,1
Giap,Bilotta,F,907,894-3705,SAINT MICHAEL,K,99659,M,Y,15000,0.0,0,0,0,1
Pavlin,Gerlach,M,712,806-3298,NORTH WASHINGTON,XT,50661,M,N,,8.98,1040,80,0,1
Gerri,Onizuka,F,406,225-5478,POPLAR,MT,59255,S,N,75000,,7.8,0,0,1
Schuster,Tiziana,M,772,727-6137,,FL,33075,,N,80000,0.0,0,0,0,1
Newton,Liscouet,F,320,656-2220,TAUNTON,MN,56291,M,Y,65000,7.724066,0,6600,3300,1
Roch,Nastar,M,360,751-4146,,WA,,M,Y,60000,0.0,0,0,0,1
Xuemin,,F,609,188-4022,RICEBORO,UT,84760,S,Y,45000,7.0,,0,2475,1
Tadeusz,Brinkschulte,M,504,909-7616,HAMMOND,LA,70401,M,N,25000,6.0,0,9000,0,1
Chinho,Demmer,F,860,584-9932,EAST HAMPTON,CT,6424,M,N,30000,5.0,0,24500,0,1
Seraffin,Zampieri,M,402,183-5964,CAMPBELL,NE,68932,M,Y,75000,6.J4,0,206,103,1
Nicu,,F,262,269-4453,BAILEYS HARBOR,WI,54202,,N,35000,5.4020367,,0,0,1
Mitsuhisa,PXpadimitriou,F,207,410-8062,GOULDSBORO,ME,4607,16428,Y,60000,8.5,2850,0,2850,1
Gjalt,Harnpanichpun,F,505,777-2045,ALBQUERQUE,NM,87121,M,Y,100000,5.3,0,6600,3300,1
Pranava,Siochi,M,540,851-6497,GAINESVILLE,VA,20156,M,N,60000,5.75,0,1800,0,1
Gaid,Weisenberg,F,808,229-5260,HILO,HI,96721,S,N,100000,8.25,1040,0,0,1
Hedwig,Brendel,F,775,288-8288,HALLECK,NV,89824,S,Y,90000,0.0,0,0,0,1
Souichi,Wadey,F,,519-2066,STOWE,VT,5672,S,N,45000,3.9004214,3300,0,0,1
Dante,Schmaranz,F,218,151-1223,SCHROEDER,MN,55613,M,N,25000,5.5895944,0,6600,0,1
Jean,Tsujishita,F,202,132-8926,WASHINGTON,DC,29912,Y,S,10000,4.5,,0,1370,1
Nicolau,Lavoie,M,865,969-1114,COKER CREEK,TN,37314,S,N,30000,0.0,0,0,0,1
Amos,Gavrilov,M,606,621-7327,LOUISVILLE,KY,40293,M,N,75000,6.0,0,40,0,1
Abdel,,M,260,635-7798,SULLIVAN,IN,47864,M,N,45000,3.4,0,2000,0,1
Kish,Cannan,M,563,689-4109,MOUNT VERNON,IA,52314,S,Y,10000,1.7078737,40,0,40,1
Wes,Cooperband,F,320,296-7818,BOWSTRING,MN,65631,Y,N,25000,5.5895944,3300,0,0,1
,Beretta,M,219,,DANVILLE,IN,46122,M,N,100000,3.4,0,2000,0,1
Hezhi,Nishizaki,,769,413-3763,POPE,MS,38658,S,Y,90000,,6000,0,1500,1
John,Sherratt,M,978,184-9558,OCEAN BLUFF,MA,2065,S,N,60000,5.3,3575,,0,1
Ward,McCormick,F,507,659-1237,KENYON,MN,55946,M,Y,10000,5.35,0,6600,3300,1
Kelly,Heinke,Jahnichen,865,863-1774,MOUNT CARMEL,TN,37645,M,Y,55000,0.0,0,0,0,1
Grigoris,Punter,F,701,498-8818,HARVEY,ND,58341,16428,Y,75000,,3300,0,3300,1
Bir,Byron,F,315,750-4795,BEAVER FALLS,NY,13305,M,Y,30000,2.5671675,0,0,1000,1
Yukon,Lepage,F,205,511-2544,HATCHECHUBBEE,AL,36858,S,N,85000,5.0,0,1500,159,1
Kuninobu,Decatur,F,713,299-7746,PINEHURST,XT,77362,S,Y,55000,0.0,0,0,0,1
,Kodama,F,802,216-5879,ASCUTNEY,VT,5030,M,Y,70000,4.397808,0,6600,3300,1
Motohide,Angiulli,F,574,682-2619,WARSAW,IN,46582,S,N,35000,3.4,1000,0,0,1
Taylor,Sanada,F,787,500-5910,MOCA,PR,676,Y,M,85000,0.0,0,0,6600,1
Aspi,McKie,M,907,570-1960,TYLERTOWN,AK,,M,N,20000,0.0,0,0,,1
Conal,Lindgreen,F,970,383-4114,ARVADA,CO,M,80002,N,4.63,15000,0,0,0,1
Junko,Kragelund,F,402,790-1630,GORDON,NE,69343,M,N,25000,6.5736103,0,206,0,1
Vinay,Bischoff,F,252,140-2584,MOCKSVILLE,NC,27028,S,N,60000,6.9912586,3300,0,0,1
Jeonghee,Zajar,M,931,138-6557,HICKMAN,TN,38567,S,Y,95000,0.0,0,0,0,1
Fen,Feger,F,307,644-9095,TORRINGTON,WY,82240,M,Y,15000,0.0,0,0,0,1
Sidhar,Plantinga,F,501,210-6450,HETH,AR,7246,M,Y,90000,7.0,0,40,20,1
Felicity,Wohed,F,847,457-2802,GLENCOE,IL,60022,M,,45000,3.0,0,4000,3300,1
Daphne,Belkhatir,F,202,188-9789,WASHINGTON NAVY YARD,DC,20398,S,Y,25000,7.875,1370,0,1370,1
Babette,Noga,M,870,754-6944,MORROW,AR,72749,16428,Y,40000,7.0,20,0,20,1
Hou,Covnot,F,808,768-5139,NEW YORK,iI,96771,M,Y,45000,8.25,0,2080,1040,1
Uming,Rindone,M,515,532-6731,MAURICE,IA,51036,M,N,70000,8.98,0,80,0,1
Thao,Noriega,M,631,978-2969,YONKERS,,10702,S,N,4.1853657,40000,0,0,0,1
Radmilo,Koppol,F,147,438-6817,DAVISVILLE,MO,65456,M,Y,30000,6.0,0,,,1
Reiko,Slkye,M,937,713-9585,BEAVERDAM,OH,45808,M,N,5000,0.712,0,2600,0,1
Long,Comparot,F,814,984-2470,ARCOLA,PA,19420,M,Y,95000,3.07,0,0,0,1
Elizabeth,Preishuber,F,913,681-1608,SAINT PAUL,KX,66771,S,N,45000,6.45,2250,0,0,1
Torgrim,Francisci,F,843,410-4438,MYRTLE BEACH,SC,29578,S,N,80000,7.0,3300,0,0,1
Ravindran,Magnier,M,715,877-2404,MC NAUGHTON,WI,54543,S,N,45000,5.228285,700,0,0,1
Mayez,Cusworth,F,760,,VAN NUYS,CA,91408,S,N,30000,6.590543,110,0,0,1
Manrique,Fayolle,F,302,938-1929,VIOLA,DE,53057,M,Y,60000,5.95,0,220,110,1
Sahin,Ruthqr,M,229,663-6848,POWDER SPRINGS,GA,M,30127,N,20000,6.0,0,5400,0,1
Xunwei,Soreide,F,731,646-4720,PINEY FLATS,TN,37699,M,Y,55000,0.0,0,0,0,1
Akeel,Socolovsky,M,979,667-7128,DUNCANVILLE,TX,75116,S,,35000,0.0,0,0,0,1
Rudolph,Riguzzi,F,682,360-7264,LITTLE RIVER ACADEMY,TX,76554,M,N,25000,0.0,0,0,0,1
Monty,Muchnick,,302,573-6497,DELMAR,DE,,M,N,5000,2.2,0,220,0,1
Wahls,Gerti,F,731,315-2994,MEMPHIS,TN,11701,S,N,50000,0.0,0,0,0,1
Celso,Bekesi,F,210,630-4533,FORSAN,TX,79733,M,N,30000,0.0,0,0,0,1
Rondall,Treweek,F,603,108-9496,NORTH STRATFORD,NH,3590,M,Y,10000,0.0,0,0,0,1
Cathy,Hirsbrunner,F,605,547-1849,STRANDBURG,SD,57265,S,N,80000,0.0,0,0,0,1
Royce,Zumbusch,M,210,792-3104,COYOTE SPRINGS,wV,89037,M,Y,50000,0.0,0,0,0,1
Avadis,Benzmuller,M,435,,GOSHEN,UT,84633,M,Y,90000,7.0,900,4950,2475,1
Linda,Gire,F,443,207-8909,BROWNSVILLE,MD,21715,M,Y,,4.75,12750,4800,2400,1
Couto,Edmondson,M,30,719-2873,SPRINGFIELD,NE,68059,,Y,100000,6.84,0,,103,1
Nils,Takanami,F,818,941-5069,CANBY,CA,96015,S,Y,5000,1.0,87,0,272,1
Venkata,Nitadori,F,509,653-4843,BELLEVUE,WA,98009,M,N,80000,0.0,0,0,0,1
Joop,Bashkow,M,Y01,589-7084,,MD,20710,Y,S,100000,4.75,2400,0,2400,1
Fan,Dingel,M,803,504-9021,,SC,29707,S,N,20000,7.0,3300,0,0,1
Rona,Kambil,F,865,805-6887,NASHVILLE,TN,37220,S,Y,80000,i.0,0,0,0,1
Yunming,Litant,F,802,262-8257,GLOVER,VT,5839,S,N,06000,4.1988535,3300,0,0,1
Surajit,Praeger,,803,318-2026,GAFFNEY,SC,29341,M,N,45000,7.0,1500,6600,0,1
Jungyun,Alimohamd,605,M,856-4434,NORTH STRATFORD,SD,57386,S,N,50000,0.0,0,0,0,1
Ido,Lugli,,92,214-4022,MILWAUKEE,WI,53259,M,Y,10000,5.3151608,0,400,1400,1
Suzan,Duclos,F,664-5371,401,PAWTUCKET,IR,2861,S,Y,90000,0.0,0,0,0,1
Venkatraman,Tasistro,M,262,385-3083,HAUGEN,WI,54841,Y,N,80000,5.836415,0,1400,0,1
JongMin,Proietti,M,918,660-6728,ENID,OK,73703,M,Y,25000,6.25,0,2000,1000,1
Cristiano,Loulergue,F,406,909-4181,MILLTOWN,MT,59851,M,Y,50000,6.9,0,3800,,1
Sahar,Willamowski,M,641,440-2812,CARTER LAKE,IA,51510,M,N,95000,8.98,0,0,80,1
Xiaotie,F,Tsujishita,615,481-4436,MEMPHIS,TN,38G90,M,Y,15000,0.0,0,0,0,1
Shem,Gerstenkorn,F,270,352-1928,INDEPENDENE,KY,41051,M,Y,80000,6.0,0,40,20,1
Sharad,Degimbe,M,240,800-6906,RIDGELY,MD,21686,M,,5000,4.75,0,4080,0,1
Avigdor,Litecky,F,276,679-1475,VIENNA,VA,22184,M,Y,90000,5.75,0,1800,900,1
Mohammed,Rathi,,202,781-8242,WASHINGTON,DC,20013,S,Y,95000,9.0,1370,0,1370,1
Rajaraman,Cyre,M,971,573-7406,TROUTDALE,OR,97060,S,N,10000,9.0,159,0,0,1
Inbal,Suermann,F,208,901-4699,LETHA,ID,83636,S,N,100000,7.8,3300,0,0,1
Luba,Libkin,M,734,766-9214,WALLED LAKE,Mx,48391,,N,100000,3.9,0,6200,0,1
Casimir,Marzullo,M,773,540-8234,NORTH CHICAGO,IL,60064,M,Y,85000,3.0,0,4000,2000,1
Anthong,Huuskonen,M,939,661-2631,LUQUILLO,PR,773,S,N,15000,0.0,0,0,0,1
Yongkyun,Brodsky,M,402,652-5639,LEBANON,NE,69036,16428,,15000,4.7976766,0,9000,130,1
Ashwini,Schnoebelen,F,301,389-5635,TAKOMA PARK,MD,20913,M,N,100000,4.75,0,4800,0,1
Djamila,Crepeau,F,603,740-3671,EAST KINGSTON,NH,3827,M,Y,60000,0.0,0,0,0,1
Terrill,Preas,,308,632-3299,FRANKLIN,NE,68939,S,Y,30000,6.84,103,0,03,1
Hongjing,Kopecky,M,907,722-3067,TWO RIVES,AK,99716,M,Y,35000,0.0,0,0,0,1
Dayanad,Meriem,M,307,703-8484,BIG PINEY,WY,83113,M,Y,30000,2.3732758,0,0,0,1
Helene,Allison,M,678,585-9798,ATLANTA,GA,30326,M,N,5000,4.4,0,5400,0,1
,Schuette,M,662,660-6728,POTTS CAMP,MS,38659,M,N,65000,4.330183,12000,0,0,1
Elisa,,M,208,476-1187,HOPE,ID,83836,80002,Y,55000,7.8,0,6600,3300,1
Ziv,Belanche,F,763,995-9504,MERIDIAN,MN,82240,S,N,100000,7.85,3300,0,0,1
Piette,Stafano,M,337,,NEW IBERIA,LA,70562,S,Y,5000,0.935984,4500,0,1000,1
Othein,Efe,F,901,780-1326,DAYTON,TN,37321,S,N,40000,0.0,0,0,0,1
Shiafun,Cappelli,M,443,240-3353,GALENA,MD,21635,S,N,20000,4.75,2400,0,0,1
Hyunseung,Fioravanti,F,701,819-3337,GRAND FORKS,ND,58202,S,Y,75000,2.6251287,3300,0,3300,1
Mamata,Eskilson,M,626,508-9160,SAINT HELENA,CA,94574,M,Y,55000,9.3,0,174,t72,1
LouAnn,Oberhauser,M,775,825-2982,JARBIDGE,NV,89826,S,Y,5000,0.0,0,,0,1
Wagar,Bratten,M,702,832-2349,LAS VEGAS,NV,89129,M,N,10000,0.0,0,0,0,1
Shoji,Ringeissen,M,432,602-4381,SWEETWATER,TX,79556,M,N,30000,0.0,0,0,0,1
Sharat,Wissmann,M,304,946-6781,TEAYS,WV,25569,S,N,70000,6.5,2000,0,0,1
,Kildall,M,406,988-3047,SHERIDAN,MT,59749,,Y,1000,4.916379,3800,0,1900,1
Deven,Rayne,F,618,263-7863,GLADSTONE,IL,61437,M,N,20000,3.0,0,4000,0,1
Selmer,Sundareshan,M,702,956-3707,LAS VEGAS,NV,89115,M,Y,60000,0.0,0,0,0,1
Sonoko,Dam,F,939,206-1159,CABO ROJO,PR,623,S,N,45000,0.0,0,0,0,1
Aahok,Chamillard,M,928,763-9265,ESA,AZ,85274,S,N,70000,3.8,2100,0,0,1
Yaakov,Sione,F,504,626-2579,PUYALLUP,WA,38567,M,N,75000,0.0,0,0,0,1
Noach,Kuzuoka,M,662,694-3205,SLATE SPRING,MS,38955,M,Y,90000,5.0,0,4500,1500,1
Mandy,Sidou,M,267,606-1367,HESSTON,PA,16647,M,Y,100000,3.07,0,0,0,1
Oliver,Konikowska,F,307,658-1685,OSAGE,WY,82723,M,N,30000,0.0,0,0,0,1
Rade,Spinelli,M,20,287-5006,STAFFORD,KS,67578,M,Y,40000,6.45,0,4500,2250,1
Graydon,Nojima,F,870,555-2376,CENTERVILLE,AR,72829,S,N,90000,7.0,20,0,0,1
Joshua,Batz,M,909,253-4845,DIAMOND BAR,A,91765,S,N,25000,5.410157,87,0,0,1
Manavendra,Ernst,F,602,583-5194,LAVEEN,AZ,85339,M,Y,70000,3.8,0,4200,2300,1
Isdor,Fosse,F,202,950-4713,WASHINGTON,DC,5414,S,N,,.0,2250,0,0,1
Jianghai,Orailoglu,F,812,452-4710,WEST BADEN SPRINGS,IN,74004,M,N,25000,3.4,0,2000,0,1
Varsha,Ernst,M,484,993-6874,ASHFIELD,PA,18212,S,Y,25000,3.07,0,,0,1
Cherri,Wroclawski,M,504,319-9588,,LA,71465,M,N,20000,4.4,0,9000,900,1
Chandrasekhara,Mlynski,M,214,791-5354,RICEBORO,GA,31323,S,N,,6.0,2700,0,0,1
Felicja,Hawryszkiewycz,M,209,939-8636,RIVERSIDE,CA,9257,M,N,95000,9.3,0,174,0,1
Ramachenga,Gheorghiu,,865,408-8074,NASHVILLE,TN,37201,S,Y,85000,0.0,0,,0,1
